stop_id,stop_code,stop_name,stop_lat,stop_lon
stop_26_78455_75_82285,IAG,"INDIA GATE",26.784553,75.822852
stop_26_79651_75_81380,SEC8,"SECTOR 8",26.796507,75.813799
stop_26_80408_75_80802,SEC5,"SECTOR 5",26.804084,75.808021
stop_26_82914_75_79410,RMN,"RAM MANDIR",26.829143,75.794102
stop_26_83652_75_79377,RMR,"TARO KI KOOT",26.836521,75.793772
stop_26_87345_75_79734,SKGAT,"SAYEED KA GATTA",26.873447,75.79734
stop_26_88775_75_80287,GNMOD,"GANDHI NAGAR MOD",26.887747,75.802874
stop_26_89475_75_80850,RBC,"RAMBAGH CIRCLE",26.89475,75.808503
stop_26_90712_75_81508,RBH,"SMS HOSPITAL",26.907118,75.815079
stop_26_91484_75_81665,MLAGE,"MAHARANI COLLAGE",26.914844,75.81665
stop_26_91673_75_81733,AJG,"AJMERI GATE",26.91673,75.81733
stop_26_84623_76_05135,BSI,"BASSI",26.846227,76.051351
stop_26_85683_76_05338,BIK,"BASSI CHAK",26.856834,76.053379
stop_26_85610_76_02073,BAD,"BANADA MOD",26.856099,76.020728
stop_26_85494_76_00964,KEI,"KHEDI",26.854937,76.009638
stop_26_85657_76_00334,KHA,"KHOKHAWLA",26.856572,76.003336
stop_26_86242_75_98141,DMA,"DAYARAMPURA",26.862423,75.98141
stop_26_87423_75_94921,KOA,"KANOTA",26.874234,75.949207
stop_26_87764_75_92955,BRA,"BAGARANA",26.877643,75.929554
stop_26_88171_75_91016,CIN,"CHUNGI NAKA",26.88171,75.910164
stop_26_88377_75_90028,BWI,"BAWDI",26.883767,75.900278
stop_26_88610_75_89177,BALTI,"BALTI FACTOR",26.886096,75.891769
stop_26_88810_75_88418,PMN,"PREM NAGAR",26.888099,75.88418
stop_26_88896_75_88077,MIK,"MURGI KHANA",26.888959,75.880767
stop_26_88970_75_87769,KNY,"KHANIYA",26.889698,75.877688
stop_26_90362_75_84381,TRANS,"TRANSPORT NGR",26.903624,75.843814
stop_26_91529_75_82352,SGG,"SANGANERI GATE",26.915286,75.823523
stop_26_91146_75_81600,MLAGE,"MAHARANI COLLAGE",26.911455,75.815999
stop_26_89892_75_79963,HIGHC,"HIGH COURT",26.898923,75.799631
stop_26_90256_75_78636,22G,"22 GODAM",26.902563,75.786359
stop_26_90148_75_77201,SAL,"SODALA",26.901484,75.772007
stop_26_89851_75_75909,PIC,"PURANI CHUNGI",26.898509,75.759094
stop_26_90512_75_74583,GIT,"GANDHI PATH",26.905118,75.745831
